source,title,description,url,ref,size_mb
Kaggle,IMDB 50K Movie Reviews (TEST your BERT),"Pytorch-nlp Movie Dataset for Language Translation Models (ULMFiT, BERT, OpenAI)",https://www.kaggle.com/datasets/atulanandjha/imdb-50k-movie-reviews-test-your-bert,atulanandjha/imdb-50k-movie-reviews-test-your-bert,
Kaggle,🎬 Massive Rotten Tomatoes Movies & Reviews,"1.4M+ reviews on 140K+ unique movies with sentiment, score, runtime, revenue,...",https://www.kaggle.com/datasets/andrezaza/clapper-massive-rotten-tomatoes-movies-and-reviews,andrezaza/clapper-massive-rotten-tomatoes-movies-and-reviews,
Kaggle,Sentiment Labelled Sentences Data Set ,"From Group to Individual Labels using Deep Features, Kotzias et. al,. KDD 2015",https://www.kaggle.com/datasets/marklvl/sentiment-labelled-sentences-data-set,marklvl/sentiment-labelled-sentences-data-set,
Kaggle,🎬📽️The MOTHER OF ALL MOVIE REVIEW DATASETS,56 Million user reviews of 10500 Movies For All Your NLP Needs!,https://www.kaggle.com/datasets/bwandowando/rotten-tomatoes-9800-movie-critic-and-user-reviews,bwandowando/rotten-tomatoes-9800-movie-critic-and-user-reviews,
Kaggle,The Movie Database (TMDB) Comprehensive Dataset,"10,000 Movies with 150k Cast, 63k Crew, and 80k User Reviews",https://www.kaggle.com/datasets/rishabhkumar2003/the-movie-database-tmdb-comprehensive-dataset,rishabhkumar2003/the-movie-database-tmdb-comprehensive-dataset,
Kaggle,IMDB Dataset of 50K Movie Reviews,Balanced sentiment analysis dataset for binary text classification,https://www.kaggle.com/datasets/rehanliaqat17/imbd-dataset,rehanliaqat17/imbd-dataset,
Kaggle,Brazilian Portuguese Sentiment Analysis Datasets,,https://www.kaggle.com/datasets/fredericods/ptbr-sentiment-analysis-datasets,fredericods/ptbr-sentiment-analysis-datasets,
Kaggle,Rotten Tomatoes Top Movies Ratings and Technical,Film Critic and User Reviews,https://www.kaggle.com/datasets/thedevastator/rotten-tomatoes-top-movies-ratings-and-technical,thedevastator/rotten-tomatoes-top-movies-ratings-and-technical,
Kaggle,IMDb Top Movie Characteristics and Reviews,Exploring Cinematic and Consumer Trends,https://www.kaggle.com/datasets/thedevastator/imdb-top-250-movie-characteristics-and-reviews,thedevastator/imdb-top-250-movie-characteristics-and-reviews,
